IP地址,端口,TLS,数据中心,下载速度(MB/s)
89.168.103.247,443,TRUE,FRA,10.97
132.145.246.174,443,TRUE,FRA,10.97
144.21.32.193,2087,TRUE,AMS,10.97
130.61.199.164,443,TRUE,FRA,10.96
152.70.106.13,2052,FALSE,NRT,10.96
131.186.47.255,8880,FALSE,NRT,10.94
151.145.74.199,2096,TRUE,NRT,10.94
141.147.169.131,2053,TRUE,NRT,10.92
131.186.38.135,2086,FALSE,NRT,10.90
150.230.118.12,443,TRUE,FRA,10.89
131.186.45.88,80,FALSE,NRT,10.89
130.162.58.1,443,TRUE,FRA,10.87
138.3.222.204,2096,TRUE,NRT,10.87
168.138.206.236,80,FALSE,NRT,10.85
89.168.70.226,443,TRUE,FRA,10.85
151.145.75.28,2053,TRUE,NRT,10.84
130.162.51.114,443,TRUE,FRA,10.83
158.101.155.246,2096,TRUE,NRT,10.83
141.148.233.181,443,TRUE,FRA,10.82
141.147.189.242,2082,FALSE,NRT,10.82
155.248.160.116,8080,FALSE,NRT,10.81
141.147.175.230,8443,TRUE,NRT,10.80
158.101.88.214,8443,TRUE,NRT,10.78
158.101.146.160,2096,TRUE,NRT,10.78
89.168.84.8,443,TRUE,FRA,10.74
132.145.124.198,2052,FALSE,NRT,10.74
168.138.205.195,8880,FALSE,NRT,10.73
158.101.158.251,2083,TRUE,NRT,10.73
158.101.69.144,8880,FALSE,NRT,10.73
132.145.123.112,8443,TRUE,NRT,10.72
129.159.197.137,8443,TRUE,FRA,10.69
138.2.163.29,443,TRUE,AMS,10.68
138.3.217.39,2087,TRUE,NRT,10.68
151.145.70.28,2053,TRUE,NRT,10.67
138.2.151.106,443,TRUE,EWR,10.67
138.3.223.70,2095,FALSE,NRT,10.67
158.178.153.217,443,TRUE,FRA,10.66
132.145.123.143,8880,FALSE,NRT,10.66
131.186.63.127,2083,TRUE,NRT,10.66
132.145.123.238,2086,FALSE,NRT,10.66
144.21.38.144,443,TRUE,FRA,10.66
141.148.230.246,443,TRUE,FRA,10.65
131.186.60.162,2052,FALSE,NRT,10.62
151.145.65.203,80,FALSE,NRT,10.61
152.70.106.21,8880,FALSE,NRT,10.59
131.186.36.248,2052,FALSE,NRT,10.59
131.186.41.255,8443,TRUE,NRT,10.58
141.147.182.76,2083,TRUE,NRT,10.56
138.3.212.162,8080,FALSE,NRT,10.54
131.186.63.35,2095,FALSE,NRT,10.53
193.123.37.159,443,TRUE,FRA,10.52
138.3.218.160,80,FALSE,NRT,10.51
143.47.231.135,443,TRUE,FRA,10.49
141.144.207.208,443,TRUE,FRA,10.49
158.101.147.4,80,FALSE,NRT,10.48
138.3.211.101,2083,TRUE,NRT,10.48
131.186.41.82,2086,FALSE,NRT,10.47
132.145.120.103,80,FALSE,NRT,10.47
132.145.127.21,8080,FALSE,NRT,10.46
141.144.204.27,8443,TRUE,AMS,10.45
158.101.209.25,443,TRUE,FRA,10.44
158.101.149.81,2096,TRUE,NRT,10.44
158.101.65.24,2096,TRUE,NRT,10.39
141.144.243.135,443,TRUE,FRA,10.34
132.145.114.4,2052,FALSE,NRT,10.32
132.145.121.34,2096,TRUE,NRT,10.30
141.147.1.240,443,TRUE,FRA,10.29
132.145.114.250,2086,FALSE,NRT,10.29
132.145.115.17,2052,FALSE,NRT,10.28
158.101.70.155,8443,TRUE,NRT,10.27
151.145.71.40,80,FALSE,NRT,10.26
141.144.199.118,443,TRUE,FRA,10.23
168.138.206.109,80,FALSE,NRT,10.23
129.159.243.227,443,TRUE,FRA,10.21
132.145.253.30,443,TRUE,FRA,10.21
141.147.174.7,2087,TRUE,NRT,10.19
138.2.167.137,443,TRUE,FRA,10.19
158.101.133.129,2083,TRUE,NRT,10.15
132.145.123.14,2086,FALSE,NRT,10.15
141.147.36.52,443,TRUE,FRA,10.15
132.145.117.216,2052,FALSE,NRT,10.15
151.145.65.8,2086,FALSE,NRT,10.14
141.147.191.211,2053,TRUE,NRT,10.13
141.147.178.202,8880,FALSE,NRT,10.13
141.147.53.146,443,TRUE,FRA,10.09
138.2.153.254,443,TRUE,FRA,10.08
132.226.203.199,443,TRUE,FRA,10.08
141.147.165.179,2087,TRUE,NRT,10.08
131.186.37.49,80,FALSE,NRT,10.07
132.145.125.86,8080,FALSE,NRT,10.07
152.70.104.69,2095,FALSE,NRT,10.07
140.238.80.225,443,TRUE,FRA,10.01
131.186.43.107,8880,FALSE,NRT,10.01
168.138.198.53,80,FALSE,NRT,9.99
158.101.140.255,8880,FALSE,NRT,9.98
141.147.168.13,2083,TRUE,NRT,9.98
151.145.71.127,8080,FALSE,NRT,9.96
152.67.135.222,443,TRUE,FRA,9.93
144.21.59.145,443,TRUE,FRA,9.93
158.178.158.93,443,TRUE,FRA,9.93
132.226.213.211,443,TRUE,FRA,9.90
141.147.53.31,443,TRUE,FRA,9.90
158.101.221.69,443,TRUE,FRA,9.89
152.70.62.105,443,TRUE,AMS,9.89
151.145.68.166,80,FALSE,NRT,9.88
141.144.192.13,443,TRUE,FRA,9.87
141.147.106.208,443,TRUE,FRA,9.86
132.226.202.121,443,TRUE,FRA,9.85
